STATION,MV_19_01,MV_19_02,MV_19_03,MV_19_04,MV_19_05,MV_19_06,MV_19_07,MV_19_08,MV_19_09,MV_19_10,MV_19_11,MV_19_12,19_VOLUME,MV_21_01,MV_21_02,MV_21_03,MV_21_04,MV_21_05,MV_21_06,MV_21_07,MV_21_08,MV_21_09,MV_21_10,MV_21_11,MV_21_12,21_VOLUME,Yearly_change,Yearly_percentage_change
34 ST-PENN STA,5504929.0,5868708.0,6418875.0,6534938.0,6657381.0,6533695.0,6203260.0,5855564.0,6358889.0,6630379.0,6472993.0,6421292.0,75460903.0,1469903.0,1415968.0,1649706.0,1745467.0,2000839.0,2230504.0,2411533.0,2311332.0,2430376.0,2891074.0,2957579.0,2928322.0,26442603.0,-49018300.0,-64.9585388608456
23 ST,3884682.0,4363936.0,4384837.0,4374476.0,4368606.0,4343478.0,3914604.0,3919561.0,4404323.0,4547412.0,4505293.0,4224369.0,51235577.0,987764.0,971975.0,1141948.0,1210563.0,1393682.0,1556848.0,1591177.0,1551472.0,1674339.0,2022306.0,2011150.0,1962725.0,18075949.0,-33159628.0,-64.7199269367065
GRD CNTRL-42 ST,3823963.0,3986867.0,4487548.0,4482559.0,4225514.0,3988242.0,3991175.0,4056106.0,4447105.0,3999440.0,3489353.0,3723680.0,48701552.0,814184.0,829427.0,1001423.0,1079864.0,1220828.0,1395179.0,1462393.0,1400493.0,1520077.0,1774268.0,1810746.0,1789320.0,16098202.0,-32603350.0,-66.94519714689996
34 ST-HERALD SQ,3661640.0,3797892.0,4020062.0,4004639.0,4055333.0,4018926.0,3623661.0,3706250.0,3891665.0,4063206.0,4062003.0,4019328.0,46924605.0,944578.0,912842.0,1046219.0,1106740.0,1254298.0,1345958.0,1342083.0,1331044.0,1501526.0,1677951.0,1728463.0,1780447.0,15972149.0,-30952456.0,-65.96210239809157
TIMES SQ-42 ST,3444907.0,3651732.0,3819856.0,3995950.0,4004943.0,4048436.0,3846766.0,3722267.0,3992141.0,3977871.0,3851326.0,3723501.0,46079696.0,789770.0,741985.0,901589.0,996335.0,1146675.0,1239819.0,1291364.0,1249645.0,1474532.0,1689257.0,1691599.0,1699037.0,14911607.0,-31168089.0,-67.63952826424897
FULTON ST,3243194.0,3504207.0,3842238.0,3947543.0,4065620.0,4085163.0,3867103.0,3829366.0,4050624.0,4128187.0,3679817.0,3588840.0,45831902.0,891874.0,864640.0,1016054.0,1078270.0,1238596.0,1374770.0,1456318.0,1453366.0,1588871.0,1799017.0,1736234.0,1739528.0,16237538.0,-29594364.0,-64.57153796497471
42 ST-PORT AUTH,3147133.0,3335721.0,3523662.0,3613560.0,3698812.0,3682242.0,3470533.0,3500098.0,3595783.0,3668526.0,3552194.0,3528738.0,42317002.0,769649.0,746619.0,850776.0,907844.0,1014562.0,1160589.0,1244834.0,1214495.0,1324163.0,1475782.0,1550930.0,1556598.0,13816841.0,-28500161.0,-67.34919690199226
125 ST,2966979.0,3280439.0,3479358.0,3439859.0,3595036.0,3558483.0,3265677.0,3257218.0,3606879.0,3610587.0,3419619.0,3247363.0,40727497.0,1030262.0,1012840.0,1135913.0,1189007.0,1299177.0,1390287.0,1409281.0,1364660.0,1490654.0,1657036.0,1623002.0,1589758.0,16191877.0,-24535620.0,-60.243378079433654
86 ST,3136348.0,3263934.0,3455643.0,3528528.0,3597092.0,3450081.0,3064139.0,3068299.0,3510450.0,3589174.0,3495818.0,3419469.0,40578975.0,975650.0,966866.0,1104181.0,1181810.0,1335826.0,1400524.0,1388942.0,1384163.0,1495152.0,1765168.0,1695143.0,1675082.0,16368507.0,-24210468.0,-59.66259128033668
14 ST-UNION SQ,2999947.0,3181593.0,3216745.0,3292789.0,3546112.0,3528176.0,3149459.0,3256051.0,3506236.0,3528605.0,3412054.0,3202708.0,39820475.0,750766.0,738816.0,865016.0,926001.0,1046034.0,1101126.0,1157895.0,1135198.0,1240078.0,1351675.0,1358857.0,1336146.0,13007608.0,-26812867.0,-67.33437258093983
CANAL ST,2547402.0,2717001.0,2907803.0,3065215.0,3093896.0,3163749.0,2875805.0,2857028.0,3113672.0,3071887.0,2843502.0,2812318.0,35069278.0,650624.0,644021.0,769527.0,858520.0,991637.0,1056150.0,1119986.0,1105166.0,1226568.0,1340035.0,1357451.0,1334093.0,12453778.0,-22615500.0,-64.4880684455494
14 ST,2235927.0,2487354.0,2640694.0,2643915.0,2760544.0,2678188.0,2459087.0,2302885.0,2810652.0,3008323.0,2775630.0,2669445.0,31472644.0,623289.0,622888.0,725447.0,795202.0,930646.0,1040465.0,1081928.0,1043206.0,1170437.0,1335689.0,1308678.0,1246173.0,11924048.0,-19548596.0,-62.11297659008248
59 ST,2321397.0,2480927.0,2582309.0,2682200.0,2767398.0,2651201.0,2454439.0,2531064.0,2350471.0,2734942.0,2766810.0,2652514.0,30975672.0,868756.0,877038.0,969019.0,1037572.0,1128403.0,1178201.0,1216060.0,1205514.0,1271491.0,1453709.0,1437425.0,1465439.0,14108627.0,-16867045.0,-54.452555541006504
59 ST COLUMBUS,2278211.0,2441132.0,2520581.0,2660476.0,2656139.0,2707196.0,2408692.0,2392925.0,2607283.0,2697857.0,2567009.0,2484071.0,30421572.0,619771.0,623546.0,714865.0,756993.0,868581.0,934910.0,934431.0,912630.0,1007580.0,1181503.0,1166527.0,1146245.0,10867582.0,-19553990.0,-64.27672442436571
96 ST,2227374.0,2356899.0,2514346.0,2568718.0,2644605.0,2696933.0,2384703.0,2155768.0,2570524.0,2618456.0,2459914.0,2322911.0,29521151.0,743263.0,732433.0,844384.0,860424.0,986292.0,1023777.0,1011580.0,1007898.0,1111563.0,1294400.0,1253167.0,1230232.0,12099413.0,-17421738.0,-59.01442663939492
FLUSHING-MAIN,2175425.0,2317775.0,2434653.0,2053281.0,2386032.0,2490825.0,2377031.0,2429005.0,2595720.0,2402700.0,2148869.0,2425492.0,28236808.0,663126.0,615074.0,688417.0,677547.0,817220.0,844981.0,889230.0,888106.0,1090704.0,1149612.0,1152484.0,1132343.0,10608844.0,-17627964.0,-62.42902526376211
